column,n_unique,top_value,top_share,top10_share,singletons
device_ip,547394,6b9769f2,0.005157,0.026911,441074
device_id,152548,a99f214a,0.821801,0.8237229999999999,138154
device_model,5174,8a4875bd,0.06073,0.24106400000000003,873
character_id,4997,dfcea2a88c,0.001401,0.013727,5
app_id,3139,ecad2386,0.644149,0.800619,1062
site_domain,2905,c4e18dd6,0.369255,0.739245,869
site_id,2663,85f751fd,0.355851,0.6974339999999999,548
C14,2133,4687,0.024769,0.18491400000000002,183
C17,400,1722,0.118823,0.361554,5
hour,222,14102209,0.012158,0.10292399999999999,0
app_domain,208,7801e8d9,0.680726,0.966396,74
C20,162,-1,0.468253,0.800387,1
session_msg_count,139,1,0.079908,0.5656410000000001,7
conversation_turn,113,1,0.220094,0.8020120000000001,11
C19,65,35,0.309227,0.7954359999999999,0
C21,57,23,0.217865,0.778479,0
app_category,27,07d7df22,0.652911,0.998318,1
site_category,21,50e219e0,0.404375,0.998148,0
C16,9,50,0.943277,1.0,0
C15,8,320,0.932885,1.0,0
C1,7,1005,0.916337,1.0,0
banner_pos,7,0,0.715791,1.0,0
device_type,4,1,0.920519,1.0,0
C18,4,0,0.410592,1.0,0
device_conn_type,4,0,0.864261,1.0,0
click,2,0,0.819568,1.0,0
