feature,gain,split,gain_share
te_x_site_id__C17,107488.35676980019,367,0.3196998997875911
te_x_site_id__banner_pos,50883.33824634552,400,0.1513410254568636
te_site_id,29022.588881969452,323,0.0863211517598432
te_app_id,28483.505814552307,559,0.08471777063271753
te_site_domain,12493.477296829224,309,0.03715903340441654
te_x_character_id__banner_pos,8895.495407819748,566,0.026457646910832362
te_x_app_id__C18,7662.800090312958,300,0.022791272418574076
te_device_model,6115.631881475449,455,0.018189569162665068
te_character_id,5829.961246967316,515,0.017339906222704975
te_C14,5320.250854730606,373,0.015823887500158524
te_x_device_model__C15__C16,5122.830101251602,422,0.015236703948377209
cnt_app_id,4662.587406635284,354,0.01386781574719347
hour_of_day,4463.3702273368835,342,0.013275289131552069
cnt_site_id,4015.36763381958,402,0.011942806353358704
cnt_device_model,3737.7007162570953,455,0.01111694866619387
te_x_app_category__C21,3663.3476181030273,267,0.01089580212769333
cnt_character_id,3419.105314731598,446,0.010169358424781732
log_interactions,2613.672732591629,360,0.007773780675395626
char_age_days,2540.5570335388184,385,0.007556314501732334
cnt_C17,2403.5608716011047,258,0.007148850283662931
te_C17,2385.380958557129,250,0.007094778228298334
te_x_site_category__C15__C16,2262.61208820343,173,0.006729629883597425
te_C20,2103.7543404102325,253,0.006257143303876665
cnt_C14,2023.883819103241,258,0.006019586433298456
te_x_hour_bucket__site_category,2016.1058940887451,215,0.0059964527477308635
safety_tier,2014.290189743042,141,0.005991052344237782
te_app_category,1975.0308661460876,185,0.00587428433143287
te_x_safety_tier__C21,1921.9529597759247,189,0.005716416057533982
te_C21,1920.802608013153,162,0.005712994595393053
te_device_ip,1880.080108165741,260,0.005591874694488812
te_C19,1761.1317777633667,196,0.005238089685094897
cnt_device_id,1557.3405561447144,134,0.004631958611116297
cnt_device_ip,1508.103236913681,204,0.004485513298367841
te_x_safety_tier__C18,1474.9075429439545,178,0.0043867801857365865
te_device_id,1355.6240289211273,130,0.0040319982481814304
te_app_domain,1310.9503149986267,131,0.003899126351230303
banner_pos,978.8809976577759,74,0.0029114609829359096
session_progress,930.2839131355286,152,0.0027669199040820866
te_site_category,782.9399995803833,88,0.002328678630203703
device_conn_type,777.715624332428,81,0.0023131399030948577
conversation_turn,665.1236681938171,105,0.001978260496839798
session_msg_count,621.4609694480896,100,0.0018483956367474647
C1,611.0324692726135,38,0.0018173784125454543
turns_remaining,609.2162308692932,98,0.0018119764206183156
C18,345.9020891189575,38,0.0010288078313866172
is_unknown_device,344.2349810600281,25,0.0010238493940693898
seen_device_id,326.2434301376343,28,0.0009703375793969313
C15,236.31556129455566,26,0.0007028673945208572
device_type,169.4290895462036,17,0.0005039286540125307
seen_device_ip,143.6241102218628,19,0.00042717755694551807
seen_app_id,138.45909023284912,14,0.000411815368681491
seen_C14,136.34367179870605,10,0.0004055235331587586
C16,30.402129650115967,5,9.042428496034302e-05
creator_type,20.912490606307983,3,6.219949166646872e-05
seen_C19,16.547060012817383,3,4.9215501909721936e-05
seen_C17,13.2499098777771,2,3.940887169009261e-05
seen_site_id,8.648170471191406,1,2.572203460982388e-05
seen_site_category,0.0,0,0.0
seen_app_domain,0.0,0,0.0
seen_character_id,0.0,0,0.0
seen_app_category,0.0,0,0.0
seen_C21,0.0,0,0.0
seen_device_model,0.0,0,0.0
seen_C20,0.0,0,0.0
seen_site_domain,0.0,0,0.0
