column,n_unique,auc,auc_shuffled,edge
site_id,2663,0.6594181046246539,0.49653691212042994,0.16288119250422395
site_domain,2905,0.6480662143018319,0.5019756660751311,0.14609054822670076
C21,57,0.6153289225077825,0.5015207428064598,0.11380817970132273
C14,2133,0.6077864640745622,0.500410982874731,0.1073754811998312
C18,4,0.6063176755398727,0.4996863394049484,0.10663133613492431
C17,400,0.603013680567758,0.49886805779059207,0.10414562277716588
app_id,3139,0.6030337590087168,0.49900807913305645,0.10402567987566036
device_model,5174,0.5938468039681692,0.5006752657597717,0.09317153820839752
C19,65,0.5825483163161203,0.5003581717704872,0.082190144545633
app_category,27,0.5718693990415202,0.5003037537141083,0.07156564532741194
app_domain,208,0.5724281015952721,0.5012943980376032,0.0711337035576689
site_category,21,0.5661502741450659,0.49977335876319523,0.06637691538187068
C20,162,0.5576973035154393,0.4972669220904484,0.06043038142499091
character_id,4997,0.5403691784976346,0.4979352847735299,0.042433893724104665
device_ip,547394,0.5337319571658296,0.4985384121347862,0.03519354503104333
device_conn_type,4,0.5351197871115602,0.5001080603663713,0.03501172674518882
C16,9,0.5340689458563695,0.5002799375860143,0.03378900827035525
C15,8,0.5329657597174817,0.5001257547883473,0.032840004929134414
num_interactions,1355,0.5322357118942476,0.5015397747576205,0.030695937136627105
banner_pos,7,0.5230511310425843,0.5002425961225797,0.022808534920004564
device_id,152548,0.519534164490502,0.5000463462249828,0.019487818265519263
hour_of_day,24,0.5141486893277696,0.4998591198688236,0.014289569458945994
safety_tier,3,0.5134408476483248,0.5014938792010877,0.011946968447237083
device_type,4,0.5120372067470687,0.5003298153594978,0.01170739138757082
C1,7,0.5124878204711784,0.5011260889481213,0.011361731523057084
is_first_turn,2,0.501335131325202,0.5010971710477696,0.0002379602774323919
char_age_days,303,0.5015206248941827,0.5016263967549173,-0.00010577186073457145
session_msg_count,139,0.4988339300358041,0.4990757844016416,-0.00024185436583745723
session_progress,2500,0.4999687274242433,0.5003663076197893,-0.0003975801955459768
creator_type,2,0.49976288726290796,0.5007279483880503,-0.0009650611251423857
conversation_turn,113,0.5003083085709807,0.5023862994678499,-0.0020779908968691085
day_of_week,7,0.49382367467542077,0.4994683929147916,-0.0056447182393708495
